"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: HL7 v2 Mapping","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping"
"DetectedIssue","DetectedIssue","","DDI
drug-drug interactionContraindicationAlert","",0,*,"","","","null {[]} {[]}
","Clinical issue with action","Indicates an actual or potential clinical issue with or between one or more active or proposed clinical actions for a patient; e.g. Drug-drug interaction, Ineffective treatment frequency, Procedure-condition conflict, etc.","","","","","","","","","",,,,,"",,,,"DetectedIssue",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","Event","Partial mapping from messages containing the AL1 or IAM segment, such as the ADT^A01, ADT^A08, and ADT^A60.","Entity. Role, or Act","Observation[classCode=ALRT, moodCode=EVN)"
"DetectedIssue.id","DetectedIssue.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"DetectedIssue.code","DetectedIssue.code","","type
","",0,1,"","","Y","CodeableConcept {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/codeableconcept-314e]]} {[]}
","Issue Category, e.g. drug-drug, duplicate therapy, etc.","Identifies the general type of issue identified.","","","","","","","","","",,"preferred","Codes identifying the general type of detected issue; e.g. Drug-drug interaction, Timing issue, Duplicate therapy, etc.","http://hl7.org/fhir/ValueSet/detectedissue-category|4.0.1","",,,,"DetectedIssue.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.code","AL1-2 / IAM-9",".code","FiveWs.class"
"DetectedIssue.severity","DetectedIssue.severity","","severity
","",0,1,"","","Y","code {[]} {[]}
","high | moderate | low","Indicates the degree of importance associated with the identified issue based on the potential impact on the patient.","","","","","","","","","",,"required","Indicates the potential degree of impact of the identified issue on the patient.","http://hl7.org/fhir/ValueSet/detectedissue-severity|4.0.1","",,,,"DetectedIssue.severity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","AL1-4/ IAR-2",".inboundRelationship[typeCode=SUBJ].source[classCode=OBS, moodCode=EVN, code=SEV].value","FiveWs.grade"
"DetectedIssue.patient","DetectedIssue.patient","","","",0,1,"","","Y","Reference {[CanonicalType[http://314e.com/fhir/StructureDefinition/reference-314e]]} {[CanonicalType[http://314e.com/fhir/StructureDefinition/patient-314e]]}
","Associated patient","Indicates the patient whose record the detected issue is associated with.","","While the subject could be inferred by tracing the subject of the implicated resources, it's useful to have a direct link for query purposes.","","","","","","","",,,,,"",,,,"DetectedIssue.patient",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.subject","PID-3",".participation[typeCode=SBJ].role[classCode=PAT]","FiveWs.subject[x]","FiveWs.subject"
"DetectedIssue.identified[x]","DetectedIssue.identified[x]","","","",0,1,"","","Y","dateTime {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/datetime-314e]]} {[]}
Period {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/period-314e]]} {[]}","When identified","The date or period when the detected issue was initially identified.","","No-one can be responsible for mitigation prior to the issue being identified.","","","","","","","",,,,,"",,,,"DetectedIssue.identified[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.occurrence[x]","ALI-6 / IAM-11",".effectiveTime","FiveWs.recorded"
"DetectedIssue.author","DetectedIssue.author","","","",0,1,"","","Y","Reference {[CanonicalType[http://314e.com/fhir/StructureDefinition/reference-314e]]} {[CanonicalType[http://314e.com/fhir/StructureDefinition/practitioner-314e], CanonicalType[http://314e.com/fhir/StructureDefinition/practitionerrole-314e], CanonicalType[http://314e.com/fhir/StructureDefinition/device-314e], CanonicalType[http://314e.com/fhir/StructureDefinition/patient-314e], CanonicalType[http://314e.com/fhir/StructureDefinition/relatedperson-314e]]}
","The provider or device that identified the issue","Individual or device responsible for the issue being raised.  For example, a decision support application or a pharmacist conducting a medication review.","","","","","","","","","",,,,,"",,,,"DetectedIssue.author",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.performer.actor","IAM-14 / IAM-16",".participation[typeCode=AUT].role[classCode=ASSIGNED]","FiveWs.author"
"DetectedIssue.implicated","DetectedIssue.implicated","","cause
","",0,*,"","","Y","Reference {[CanonicalType[http://314e.com/fhir/StructureDefinition/reference-314e]]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","Problem resource","Indicates the resource representing the current activity or proposed activity that is potentially problematic.","There's an implicit constraint on the number of implicated resources based on DetectedIssue.type; e.g. For drug-drug, there would be more than one.  For timing, there would typically only be one.","","","","","","","","",,,,,"",,,,"DetectedIssue.implicated",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.reasonReference",".outboundRelationship[typeCode=SUBJ].target[moodCode=EVN, INT]"
"DetectedIssue.evidence","DetectedIssue.evidence","","","",0,*,"","","","BackboneElement {[]} {[]}
","Supporting evidence","Supporting evidence or manifestations that provide the basis for identifying the detected issue such as a GuidanceResponse or MeasureReport.","","","","","","","","","",,,,,"",,,,"DetectedIssue.evidence",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.why[x]"
"DetectedIssue.evidence.id","DetectedIssue.evidence.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"DetectedIssue.evidence.extension","DetectedIssue.evidence.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"DetectedIssue.evidence.modifierExtension","DetectedIssue.evidence.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"DetectedIssue.evidence.code","DetectedIssue.evidence.code","","","",0,*,"","","","CodeableConcept {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/codeableconcept-314e]]} {[]}
","Manifestation","A manifestation that led to the recording of this detected issue.","","","","","","","","","",,"example","Codes that describes the types of evidence for a detected issue.","http://hl7.org/fhir/ValueSet/manifestation-or-symptom|4.0.1","",,,,"DetectedIssue.evidence.code",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.why[x]"
"DetectedIssue.evidence.detail","DetectedIssue.evidence.detail","","","",0,*,"","","","Reference {[CanonicalType[http://314e.com/fhir/StructureDefinition/reference-314e]]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","Supporting information","Links to resources that constitute evidence for the detected issue such as a GuidanceResponse or MeasureReport.","","","","","","","","","",,,,,"",,,,"DetectedIssue.evidence.detail",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.why[x]"
"DetectedIssue.detail","DetectedIssue.detail","","","",0,1,"","","","string {[]} {[]}
","Description and context","A textual explanation of the detected issue.","Should focus on information not covered elsewhere as discrete data - no need to duplicate the narrative.","","","","","","","","",,,,,"",,,,"DetectedIssue.detail",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.note","AL1-5 / IAM-8",".text"
"DetectedIssue.reference","DetectedIssue.reference","","","",0,1,"","","","uri {[]} {[]}
","Authority for issue","The literature, knowledge-base or similar reference that describes the propensity for the detected issue identified.","","","","","","","","","",,,,,"",,,,"DetectedIssue.reference",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".outboundRelationship[typeCode=INST].target[classCode=ALRT, moodCode=DEFN].text.uri"
"DetectedIssue.mitigation","DetectedIssue.mitigation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Step taken to address","Indicates an action that has been taken or is committed to reduce or eliminate the likelihood of the risk identified by the detected issue from manifesting.  Can also reflect an observation of known mitigating factors that may reduce/eliminate the need for any action.","","","","","","","","","",,,,,"",,,,"DetectedIssue.mitigation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".outboundRelationship[typeCode=MITG].target[classCode=ACT, moodCode=EVN]"
"DetectedIssue.mitigation.id","DetectedIssue.mitigation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"DetectedIssue.mitigation.extension","DetectedIssue.mitigation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"DetectedIssue.mitigation.modifierExtension","DetectedIssue.mitigation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"DetectedIssue.mitigation.action","DetectedIssue.mitigation.action","","","",1,1,"","","","CodeableConcept {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/codeableconcept-314e]]} {[]}
","What mitigation?","Describes the action that was taken or the observation that was made that reduces/eliminates the risk associated with the identified issue.","The ""text"" component can be used for detail or when no appropriate code exists.","","","","","","","","",,"preferred","Codes describing steps taken to resolve the issue or other circumstances that mitigate the risk associated with the issue; e.g. 'added concurrent therapy', 'prior therapy documented', etc.","http://hl7.org/fhir/ValueSet/detectedissue-mitigation-action|4.0.1","",,,,"DetectedIssue.mitigation.action",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".code"
"DetectedIssue.mitigation.date","DetectedIssue.mitigation.date","","","",0,1,"","","","dateTime {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/datetime-314e]]} {[]}
","Date committed","Indicates when the mitigating action was documented.","This might not be the same as when the mitigating step was actually taken.","","","","","","","","",,,,,"",,,,"DetectedIssue.mitigation.date",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".effectiveTime"
"DetectedIssue.mitigation.author","DetectedIssue.mitigation.author","","","",0,1,"","","","Reference {[CanonicalType[http://314e.com/fhir/StructureDefinition/reference-314e]]} {[CanonicalType[http://314e.com/fhir/StructureDefinition/practitioner-314e], CanonicalType[http://314e.com/fhir/StructureDefinition/practitionerrole-314e], CanonicalType[http://314e.com/fhir/StructureDefinition/organization-314e]]}
","Who is committing?","Identifies the practitioner who determined the mitigation and takes responsibility for the mitigation step occurring.","","","","","","","","","",,,,,"",,,,"DetectedIssue.mitigation.author",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".participation[typeCode=AUT].role[classCode=ASSIGNED]"
