"VisionPrescription.identifier","VisionPrescription.identifier","","","",0,*,"","","","Identifier {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/identifier-314e]]} {[]}
","Business Identifier for vision prescription","A unique identifier assigned to this vision prescription.","","Allows vision prescriptions to be distinguished and referenced.","","","","","","","",,,,,"",,,,"VisionPrescription.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.identifier","id","FiveWs.identifier","ORC-2-Placer Order Number / ORC-3-Filler Order Number"
"VisionPrescription.status","VisionPrescription.status","","","",1,1,"","Y","Y","code {[]} {[]}
","active | cancelled | draft | entered-in-error","The status of the resource instance.","This element is labeled as a modifier because the status contains codes that mark the resource as not currently valid.","Need to track the status of the resource as 'draft' resources may undergo further edits while 'active' resources are immutable and may only have their status changed to 'cancelled'.","","","","","","","",,"required","A code specifying the state of the resource instance.","http://hl7.org/fhir/ValueSet/fm-status|4.0.1","",,,,"VisionPrescription.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.status","Act.status","FiveWs.status"
"VisionPrescription.created","VisionPrescription.created","","","",1,1,"","","Y","dateTime {[]} {[]}
","Response creation date","The date this resource was created.","","Need to record a timestamp for use by both the recipient and the issuer.","","","","","","","",,,,,"",,,,"VisionPrescription.created",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"VisionPrescription.patient","VisionPrescription.patient","","","",1,1,"","","Y","Reference {[CanonicalType[http://314e.com/fhir/StructureDefinition/reference-314e]]} {[CanonicalType[http://314e.com/fhir/StructureDefinition/patient-314e]]}
","Who prescription is for","A resource reference to the person to whom the vision prescription applies.","","Needed to identify the patient for whom the vision prescription has been issued.","","","","","","","",,,,,"",,,,"VisionPrescription.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.subject","subject.role","FiveWs.subject[x]","FiveWs.subject","PID-3-Patient ID List"
"VisionPrescription.encounter","VisionPrescription.encounter","","","",0,1,"","","","Reference {[CanonicalType[http://314e.com/fhir/StructureDefinition/reference-314e]]} {[CanonicalType[http://314e.com/fhir/StructureDefinition/encounter-314e]]}
","Created during encounter / admission / stay","A reference to a resource that identifies the particular occurrence of contact between patient and health care provider during which the prescription was issued.","","Used in some jurisdictions to link clinical events to claim items.","","","","","","","",,,,,"",,,,"VisionPrescription.encounter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.context","componentOf.patientEncounter","FiveWs.context","PV1-19-Visit Number"
"VisionPrescription.dateWritten","VisionPrescription.dateWritten","","","",1,1,"","","Y","dateTime {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/datetime-314e]]} {[]}
","When prescription was authorized","The date (and perhaps time) when the prescription was written.","Jurisdictions determine the valid lifetime of a prescription. Typically vision prescriptions are valid for two years from the date written.","Need to record a timestamp for use by both the recipient and the issuer.","","","","","","","",,,,,"",,,,"VisionPrescription.dateWritten",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.authoredOn","author.time","FiveWs.recorded","RXE-32-Original Order Date/Time / ORC-9-Date/Time of Transaction"
"VisionPrescription.prescriber","VisionPrescription.prescriber","","","",1,1,"","","Y","Reference {[CanonicalType[http://314e.com/fhir/StructureDefinition/reference-314e]]} {[CanonicalType[http://314e.com/fhir/StructureDefinition/practitioner-314e], CanonicalType[http://314e.com/fhir/StructureDefinition/practitionerrole-314e]]}
","Who authorized the vision prescription","The healthcare professional responsible for authorizing the prescription.","","Need to record the authorizing practitioner.","","","","","","","",,,,,"",,,,"VisionPrescription.prescriber",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.requester","author.role","FiveWs.author","RXE-13-Ordering Provider's DEA Number / RXO-14-Ordering Provider's DEA Number / RXE-14-Pharmacist/Treatment Supplier's Verifier ID / RXO-15-Pharmacist/Treatment Supplier's Verifier ID / ORC-12-Ordering Provider / PRT-5-Participation Person: PRT-4-Participation='OP' (all but last deprecated)"
"VisionPrescription.lensSpecification","VisionPrescription.lensSpecification","","","",1,*,"","","Y","BackboneElement {[]} {[]}
","Vision lens authorization","Contain the details of  the individual lens specifications and serves as the authorization for the fullfillment by certified professionals.","","","","","","","","","",,,,,"",,,,"VisionPrescription.lensSpecification",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","component.supplyEvent"
"VisionPrescription.lensSpecification.id","VisionPrescription.lensSpecification.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"VisionPrescription.lensSpecification.extension","VisionPrescription.lensSpecification.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"VisionPrescription.lensSpecification.modifierExtension","VisionPrescription.lensSpecification.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"VisionPrescription.lensSpecification.product","VisionPrescription.lensSpecification.product","","","",1,1,"","","Y","CodeableConcept {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/codeableconcept-314e]]} {[]}
","Product to be supplied","Identifies the type of vision correction product which is required for the patient.","","Need to identify whether glasses or contacts.","","","","","","","",,"example","A coded concept describing the vision products.","http://hl7.org/fhir/ValueSet/vision-product|4.0.1","",,,,"VisionPrescription.lensSpecification.product",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","consumable.role","RXE-2-Give Code / RXO-1-Requested Give Code / RXD-2-Dispense/Give Code"
"VisionPrescription.lensSpecification.eye","VisionPrescription.lensSpecification.eye","","","",1,1,"","","Y","code {[]} {[]}
","right | left","The eye for which the lens specification applies.","May also appear as OD (oculus dexter) for the right eye and OS (oculus siniter) for the left eye.","Needed to identify which eye the lens specification applies to.","","","","","","","",,"required","A coded concept listing the eye codes.","http://hl7.org/fhir/ValueSet/vision-eye-codes|4.0.1","",,,,"VisionPrescription.lensSpecification.eye",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"VisionPrescription.lensSpecification.sphere","VisionPrescription.lensSpecification.sphere","","","",0,1,"","","","decimal {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/decimal-314e]]} {[]}
","Power of the lens","Lens power measured in dioptres (0.25 units).","The value is negative for near-sighted and positive for far sighted.
Often insurance will not cover a lens with power between +75 and -75.","Standard lens prescription measures.","","","","","","","",,,,,"",,,,"VisionPrescription.lensSpecification.sphere",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"VisionPrescription.lensSpecification.cylinder","VisionPrescription.lensSpecification.cylinder","","","",0,1,"","","","decimal {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/decimal-314e]]} {[]}
","Lens power for astigmatism","Power adjustment for astigmatism measured in dioptres (0.25 units).","","Standard lens prescription measures.","","","","","","","",,,,,"",,,,"VisionPrescription.lensSpecification.cylinder",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"VisionPrescription.lensSpecification.axis","VisionPrescription.lensSpecification.axis","","","",0,1,"","","","integer {[]} {[]}
","Lens meridian which contain no power for astigmatism","Adjustment for astigmatism measured in integer degrees.","The limits are +180 and -180 degrees.","Standard lens prescription measures.","","","","","","","",,,,,"",,,,"VisionPrescription.lensSpecification.axis",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"VisionPrescription.lensSpecification.prism","VisionPrescription.lensSpecification.prism","","","",0,*,"","","","BackboneElement {[]} {[]}
","Eye alignment compensation","Allows for adjustment on two axis.","","Standard lens prescription measures.","","","","","","","",,,,,"",,,,"VisionPrescription.lensSpecification.prism",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"VisionPrescription.lensSpecification.prism.id","VisionPrescription.lensSpecification.prism.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"VisionPrescription.lensSpecification.prism.extension","VisionPrescription.lensSpecification.prism.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"VisionPrescription.lensSpecification.prism.modifierExtension","VisionPrescription.lensSpecification.prism.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"VisionPrescription.lensSpecification.prism.amount","VisionPrescription.lensSpecification.prism.amount","","","",1,1,"","","","decimal {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/decimal-314e]]} {[]}
","Amount of adjustment","Amount of prism to compensate for eye alignment in fractional units.","","Standard lens prescription measures.","","","","","","","",,,,,"",,,,"VisionPrescription.lensSpecification.prism.amount",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"VisionPrescription.lensSpecification.prism.base","VisionPrescription.lensSpecification.prism.base","","","",1,1,"","","","code {[]} {[]}
","up | down | in | out","The relative base, or reference lens edge, for the prism.","","Standard lens prescription measures.","","","","","","","",,"required","A coded concept listing the base codes.","http://hl7.org/fhir/ValueSet/vision-base-codes|4.0.1","",,,,"VisionPrescription.lensSpecification.prism.base",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"VisionPrescription.lensSpecification.add","VisionPrescription.lensSpecification.add","","","",0,1,"","","","decimal {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/decimal-314e]]} {[]}
","Added power for multifocal levels","Power adjustment for multifocal lenses measured in dioptres (0.25 units).","","Standard lens prescription measures.","","","","","","","",,,,,"",,,,"VisionPrescription.lensSpecification.add",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"VisionPrescription.lensSpecification.power","VisionPrescription.lensSpecification.power","","","",0,1,"","","","decimal {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/decimal-314e]]} {[]}
","Contact lens power","Contact lens power measured in dioptres (0.25 units).","","Standard contact lens prescription measures.","","","","","","","",,,,,"",,,,"VisionPrescription.lensSpecification.power",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"VisionPrescription.lensSpecification.backCurve","VisionPrescription.lensSpecification.backCurve","","","",0,1,"","","","decimal {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/decimal-314e]]} {[]}
","Contact lens back curvature","Back curvature measured in millimetres.","","Standard contact lens prescription measures.","","","","","","","",,,,,"",,,,"VisionPrescription.lensSpecification.backCurve",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"VisionPrescription.lensSpecification.diameter","VisionPrescription.lensSpecification.diameter","","","",0,1,"","","","decimal {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/decimal-314e]]} {[]}
","Contact lens diameter","Contact lens diameter measured in millimetres.","","Standard contact lens prescription measures.","","","","","","","",,,,,"",,,,"VisionPrescription.lensSpecification.diameter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"VisionPrescription.lensSpecification.duration","VisionPrescription.lensSpecification.duration","","","",0,1,"","","","Quantity {[CanonicalType[http://314e.com/fhir/StructureDefinition/simplequantity-314e]]} {[]}
","Lens wear duration","The recommended maximum wear period for the lens.","","Standard contact lens prescription measures.","","","","","","","",,,,,"",,,,"VisionPrescription.lensSpecification.duration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"VisionPrescription.lensSpecification.color","VisionPrescription.lensSpecification.color","","","",0,1,"","","","string {[]} {[]}
","Color required","Special color or pattern.","","Standard contact lens prescription measures.","","","","","","","",,,,,"",,,,"VisionPrescription.lensSpecification.color",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"VisionPrescription.lensSpecification.brand","VisionPrescription.lensSpecification.brand","","","",0,1,"","","","string {[]} {[]}
","Brand required","Brand recommendations or restrictions.","","Standard lens prescription measures.","","","","","","","",,,,,"",,,,"VisionPrescription.lensSpecification.brand",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"VisionPrescription.lensSpecification.note","VisionPrescription.lensSpecification.note","","","",0,*,"","","","Annotation {[CanonicalType[http://314e.com/fhir/StructureDefinition/annotation-314e]]} {[]}
","Notes for coatings","Notes for special requirements such as coatings and lens materials.","","Standard lens prescription measures.","","","","","","","",,,,,"",,,,"VisionPrescription.lensSpecification.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
